MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
10/15/2021,2.875,100.0140,100.0200,-0.0020,0.0154
10/31/2021,1.250,100.0200,100.0240,0.0000,0.0518
10/31/2021,1.500,100.0220,100.0260,-0.0020,0.1810
10/31/2021,2.000,100.0340,100.0400,unch.,0.083
11/15/2021,2.000,100.0600,100.0640,-0.0020,0.083
11/15/2021,2.875,100.0900,100.0940,-0.0020,0.073
11/15/2021,8.000,100.2640,100.2700,-0.0080,0.037
11/30/2021,1.500,100.0640,100.0700,-0.0020,0.017
11/30/2021,1.750,100.0740,100.0800,-0.0020,0.055
11/30/2021,1.875,100.0820,100.0860,unch.,0.022
12/15/2021,2.625,100.1520,100.1560,-0.0020,0.014
12/31/2021,1.625,100.1120,100.1160,unch.,0.035
12/31/2021,2.000,100.1400,100.1440,-0.0020,0.038
12/31/2021,2.125,100.1500,100.1540,unch.,0.028
1/15/2022,2.500,100.2100,100.2140,-0.0020,0.027
1/31/2022,1.375,100.1300,100.1340,-0.0020,0.036
1/31/2022,1.500,100.1420,100.1460,unch.,0.037
1/31/2022,1.875,100.1800,100.1840,-0.0020,0.041
2/15/2022,2.000,100.2160,100.2220,-0.0040,0.046
2/15/2022,2.500,100.2740,100.2800,-0.0020,0.042
2/28/2022,1.125,100.1320,100.1360,-0.0020,0.045
2/28/2022,1.750,100.2120,100.2160,-0.0020,0.041
2/28/2022,1.875,100.2300,100.2340,unch.,0.029
3/15/2022,2.375,101.0020,101.0060,-0.0020,0.044
3/31/2022,0.375,100.0440,100.0500,unch.,0.050
3/31/2022,1.750,100.2560,100.2620,unch.,0.043
3/31/2022,1.875,100.2760,100.2820,unch.,0.038
4/15/2022,2.250,101.0420,101.0460,-0.0020,0.049
4/30/2022,0.125,100.0060,100.0120,unch.,0.056
4/30/2022,1.750,100.3020,100.3060,unch.,0.049
4/30/2022,1.875,101.0020,101.0060,-0.0020,0.064
5/15/2022,1.750,101.0020,101.0060,-0.0020,0.061
5/15/2022,2.125,101.0760,101.0820,-0.0040,0.049
5/31/2022,0.125,100.0060,100.0120,unch.,0.065
5/31/2022,1.750,101.0240,101.0300,unch.,0.060
5/31/2022,1.875,101.0500,101.0540,-0.0020,0.065
6/15/2022,1.750,101.0440,101.0500,-0.0020,0.070
6/30/2022,0.125,100.0060,100.0120,unch.,0.072
6/30/2022,1.750,101.0700,101.0740,-0.0020,0.061
6/30/2022,2.125,101.1560,101.1620,unch.,0.061
7/15/2022,1.750,101.0860,101.0920,-0.0040,0.079
7/31/2022,0.125,100.0060,100.0120,unch.,0.077
7/31/2022,1.875,101.1420,101.1460,-0.0020,0.082
7/31/2022,2.000,101.1760,101.1820,unch.,0.073
8/15/2022,1.500,101.0620,101.0660,-0.0020,0.085
8/15/2022,1.625,101.1000,101.1040,unch.,0.073
8/15/2022,7.250,106.0260,106.0320,-0.0140,0.116
8/31/2022,0.125,100.0040,100.0100,-0.0020,0.090
8/31/2022,1.625,101.1160,101.1220,-0.0040,0.084
8/31/2022,1.875,101.1860,101.1920,-0.0040,0.090
9/15/2022,1.500,101.0960,101.1020,-0.0040,0.093
9/30/2022,0.125,100.0040,100.0100,unch.,0.093
9/30/2022,1.750,101.1960,101.2020,unch.,0.084
9/30/2022,1.875,101.2340,101.2400,unch.,0.090
10/15/2022,1.375,101.0900,101.0940,-0.0040,0.105
10/31/2022,0.125,100.0040,100.0100,unch.,0.096
10/31/2022,1.875,101.2800,101.2840,-0.0020,0.099
